gene	HM_MG10	HM_MG11	HM_MG12	HM_MG13	HM_MG14	HM_MG15	HM_MG16	HM_MG17	HM_MG18	HM_MG19	HM_MG20	HM_MG21	HM_MG22	HM_MG23	HM_MG24	HM_MG3	HM_MG4	HM_MG5	HM_MG6	HM_MG7	HM_MG8	HM_MG9
HM_MG13_262578	0.0	0.0015980158831	0.00163872286241	0.00166552072801	0.0	0.0	0.00167554111016	0.00141830670537	0.00158370475164	0.0	0.0	0.00168363755773	0.0016947785241	0.0	0.0	0.00178277519828	0.0	0.0	0.00100255961815	0.00107689788685	0.00136992683592	0.0
HM_MG14_379804	0.0	0.0	0.0	0.0	0.000808715689308	2.38984151756e-05	0.0	0.0	0.0	0.00157262590015	1.90078600535e-05	0.0	0.0	0.00153604969026	0.0	6.32019207329e-05	0.00043682667253	0.0	0.0	0.0	0.0	0.000385965074251
HM_MG16_06653	0.0	0.00160667733821	0.000368409604814	0.0	0.0	0.0	0.00224616368286	0.000718989605276	0.0	0.0	0.0	0.000580377347715	0.0	0.0	0.0	7.6818828625e-05	0.0	0.0	0.000246855131078	0.000116007123028	6.21362718191e-05	0.0
HM_MG16_12668	0.0	0.000430359698825	0.000368409604814	2.44657903606e-05	0.0	0.0	0.000631734275836	0.00043139429378	0.0	0.0	0.0	0.000145093979998	0.0	0.0	0.0	0.0	0.0	0.0	0.000462853655426	0.000108756744725	0.0	0.0
HM_MG16_135503	0.0	0.00199428592401	0.000600189866821	0.000956596369589	0.0	0.0	0.00222172492185	0.000819933567157	0.00101067212405	0.0	0.0	0.00504272467037	0.00162802657257	0.0	0.0	0.0	0.0	0.0	0.0	9.4495919455e-05	0.0	0.0
HM_MG16_254859	0.0	0.00105010262187	0.000680686148785	6.88822283211e-05	0.0	0.0	0.00110104669887	0.000379553329336	0.0	0.0	0.0	0.000714883319175	0.000121739414087	0.0	0.0	4.0552522521e-05	0.0	0.0	6.51573117633e-05	0.0	0.0	0.0
HM_MG16_372571	0.0	0.000805405222282	0.000408236323018	3.61476238625e-05	0.0	0.0	0.000844478189827	0.000557701593433	0.000103115793233	0.0	0.0	0.000160779680618	8.51808568576e-05	0.0	0.0	0.0	0.0	0.0	0.000205156583046	3.21371011757e-05	0.0	0.0
HM_MG16_412002	0.0	0.00280911485462	0.000563609916576	0.0	0.0	0.0	0.00294539464336	0.000395981131375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113295440054	0.000532420695309	0.0	0.0
HM_MG16_412326	0.0	0.000534689579434	0.000228859756844	0.0	0.0	0.0	0.0012707593303	0.000133993505288	0.0	0.0	0.0	0.00054080438026	0.000179073534084	0.0	0.0	0.000178952724345	0.0	0.0	0.000575062396386	0.000216195044273	0.0	0.0
HM_MG16_418698	0.0	0.000409154943494	0.000229854405227	0.0	0.0	0.0	0.000772206829592	0.000384503955726	3.31765249898e-05	0.0	0.0	5.17293318961e-05	4.11091948806e-05	0.0	0.0	0.0	0.0	0.0	0.000462047512343	0.000124077248901	0.0	0.0
